x1,x2,x3,target_1,target_2,target_3,dist,0-th amplification,1-th amplification,2-th amplification,3-th amplification
0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.4699999999999999,0.5033333333333334,0.48999999999999994,0.5466666666666666
0.0,0.0,0.2,0.5,0.5,0.5,0.4434711565216691,0.41666666666666663,0.3566666666666667,0.41333333333333333,0.38666666666666655
0.0,0.2,0.0,0.5,0.5,0.5,0.4434711565216691,0.41,0.3400000000000001,0.3766666666666667,0.3566666666666667
0.2,0.0,0.0,0.5,0.5,0.5,0.4434711565216691,0.3733333333333334,0.40666666666666673,0.3966666666666668,0.37999999999999995
0.0,0.0,0.4,0.5,0.5,0.5,0.41231056256176607,0.3666666666666667,0.3366666666666667,0.3233333333333333,0.32333333333333336
0.0,0.4,0.0,0.5,0.5,0.5,0.41231056256176607,0.3433333333333334,0.3433333333333334,0.33,0.36
0.4,0.0,0.0,0.5,0.5,0.5,0.41231056256176607,0.30333333333333334,0.33333333333333337,0.35666666666666663,0.32333333333333336
0.0,0.0,0.6,0.5,0.5,0.5,0.41231056256176607,0.34333333333333327,0.32,0.3299999999999999,0.3333333333333334
0.0,0.6,0.0,0.5,0.5,0.5,0.41231056256176607,0.37333333333333335,0.31,0.35333333333333333,0.30666666666666664
0.6,0.0,0.0,0.5,0.5,0.5,0.41231056256176607,0.32666666666666666,0.36666666666666664,0.37999999999999995,0.35333333333333344
0.0,0.0,0.8,0.5,0.5,0.5,0.4434711565216691,0.36666666666666664,0.38000000000000006,0.38000000000000006,0.38333333333333336
0.0,0.8,0.0,0.5,0.5,0.5,0.4434711565216691,0.39,0.3899999999999999,0.4100000000000001,0.4200000000000001
0.8,0.0,0.0,0.5,0.5,0.5,0.4434711565216691,0.41333333333333333,0.40333333333333327,0.3633333333333333,0.3833333333333333
0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.49333333333333335,0.49666666666666665,0.53,0.48999999999999994
0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.4733333333333333,0.5233333333333333,0.49999999999999994,0.48
1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.49666666666666665,0.4800000000000001,0.49,0.4833333333333333
0.0,0.2,0.2,0.5,0.5,0.5,0.3785938897200183,0.31999999999999995,0.30666666666666664,0.3299999999999999,0.2833333333333333
0.2,0.0,0.2,0.5,0.5,0.5,0.3785938897200183,0.2833333333333334,0.32666666666666666,0.2766666666666666,0.30333333333333334
0.2,0.2,0.0,0.5,0.5,0.5,0.3785938897200183,0.3,0.2866666666666666,0.28333333333333327,0.3266666666666667
0.0,0.2,0.4,0.5,0.5,0.5,0.34156502553198664,0.27999999999999997,0.18666666666666665,0.26,0.23333333333333328
0.0,0.4,0.2,0.5,0.5,0.5,0.34156502553198664,0.2766666666666666,0.24,0.2366666666666667,0.2666666666666666
0.2,0.0,0.4,0.5,0.5,0.5,0.34156502553198664,0.21666666666666662,0.2566666666666666,0.2333333333333333,0.27333333333333326
0.2,0.4,0.0,0.5,0.5,0.5,0.34156502553198664,0.2433333333333333,0.21666666666666665,0.19999999999999996,0.23666666666666664
0.4,0.0,0.2,0.5,0.5,0.5,0.34156502553198664,0.25666666666666665,0.19333333333333327,0.2333333333333333,0.25333333333333335
0.4,0.2,0.0,0.5,0.5,0.5,0.34156502553198664,0.2133333333333333,0.26666666666666666,0.22666666666666666,0.22
0.0,0.2,0.6,0.5,0.5,0.5,0.34156502553198664,0.22333333333333333,0.23999999999999996,0.25666666666666665,0.25999999999999995
0.0,0.6,0.2,0.5,0.5,0.5,0.34156502553198664,0.24999999999999997,0.2033333333333333,0.22333333333333333,0.2533333333333333
0.2,0.0,0.6,0.5,0.5,0.5,0.34156502553198664,0.27666666666666667,0.18999999999999997,0.21,0.20999999999999996
0.2,0.6,0.0,0.5,0.5,0.5,0.34156502553198664,0.2433333333333333,0.22666666666666666,0.24666666666666662,0.21333333333333335
0.6,0.0,0.2,0.5,0.5,0.5,0.34156502553198664,0.22333333333333333,0.24333333333333332,0.2566666666666666,0.24999999999999997
0.6,0.2,0.0,0.5,0.5,0.5,0.34156502553198664,0.2266666666666666,0.2533333333333333,0.2,0.2333333333333333
0.0,0.2,0.8,0.5,0.5,0.5,0.3785938897200183,0.26666666666666666,0.31,0.3433333333333334,0.3133333333333333
0.0,0.8,0.2,0.5,0.5,0.5,0.3785938897200183,0.2766666666666666,0.2533333333333333,0.3266666666666667,0.29
0.2,0.0,0.8,0.5,0.5,0.5,0.3785938897200183,0.30333333333333334,0.32666666666666666,0.34,0.32
0.2,0.8,0.0,0.5,0.5,0.5,0.3785938897200183,0.29,0.3433333333333334,0.34333333333333327,0.29333333333333333
0.8,0.0,0.2,0.5,0.5,0.5,0.3785938897200183,0.32000000000000006,0.31333333333333324,0.3266666666666667,0.26333333333333336
0.8,0.2,0.0,0.5,0.5,0.5,0.3785938897200183,0.3,0.2733333333333333,0.2866666666666666,0.32666666666666666
0.0,0.2,1.0,0.5,0.5,0.5,0.4434711565216691,0.44000000000000006,0.39,0.3866666666666667,0.40333333333333327
0.0,1.0,0.2,0.5,0.5,0.5,0.4434711565216691,0.4266666666666667,0.4266666666666666,0.42666666666666664,0.37000000000000005
0.2,0.0,1.0,0.5,0.5,0.5,0.4434711565216691,0.42999999999999994,0.39666666666666667,0.4233333333333333,0.36333333333333334
0.2,1.0,0.0,0.5,0.5,0.5,0.4434711565216691,0.4200000000000001,0.4133333333333333,0.4166666666666666,0.3500000000000001
1.0,0.0,0.2,0.5,0.5,0.5,0.4434711565216691,0.43333333333333324,0.36999999999999994,0.3833333333333333,0.4566666666666667
1.0,0.2,0.0,0.5,0.5,0.5,0.4434711565216691,0.4366666666666667,0.41,0.41666666666666674,0.4066666666666666
0.0,0.4,0.4,0.5,0.5,0.5,0.30000000000000004,0.20333333333333328,0.16999999999999996,0.18666666666666665,0.1833333333333333
0.4,0.0,0.4,0.5,0.5,0.5,0.30000000000000004,0.16999999999999996,0.19333333333333333,0.17999999999999997,0.21666666666666665
0.4,0.4,0.0,0.5,0.5,0.5,0.30000000000000004,0.16,0.22333333333333333,0.18666666666666665,0.2066666666666666
0.0,0.4,0.6,0.5,0.5,0.5,0.30000000000000004,0.16666666666666663,0.18666666666666665,0.1766666666666666,0.18666666666666662
0.0,0.6,0.4,0.5,0.5,0.5,0.30000000000000004,0.15999999999999998,0.15666666666666668,0.17333333333333328,0.15333333333333335
