x1,x2,x3,target_1,target_2,target_3,dist,000,001,010,100,011,110,101,111
0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.12304,0.12645,0.12526,0.12517,0.12394,0.12604,0.12362,0.12648
0.0,0.0,0.0666666667,0.5,0.5,0.5,0.478810253910283,0.15071,0.14963,0.14964,0.10071,0.15216,0.10025,0.09732,0.09958
0.0,0.0666666667,0.0,0.5,0.5,0.5,0.478810253910283,0.15154,0.14973,0.09864,0.15037,0.09877,0.09835,0.15168,0.10092
0.0666666667,0.0,0.0,0.5,0.5,0.5,0.478810253910283,0.14993,0.09948,0.14915,0.1533,0.0989,0.15285,0.0987,0.09769
0.0,0.0,0.1333333333,0.5,0.5,0.5,0.45987115748830093,0.17467,0.17503,0.17594,0.07455,0.17814,0.07337,0.07472,0.07358
0.0,0.1333333333,0.0,0.5,0.5,0.5,0.45987115748830093,0.17662,0.17389,0.07446,0.17724,0.07524,0.07403,0.17516,0.07336
0.1333333333,0.0,0.0,0.5,0.5,0.5,0.45987115748830093,0.17443,0.07502,0.17792,0.17529,0.0743,0.17617,0.07277,0.0741
0.0,0.0,0.2,0.5,0.5,0.5,0.4434711565216691,0.1985,0.19837,0.19832,0.05153,0.19733,0.05187,0.05102,0.05306
0.0,0.2,0.0,0.5,0.5,0.5,0.4434711565216691,0.19799,0.19664,0.0512,0.20027,0.05287,0.05123,0.1977,0.0521
0.2,0.0,0.0,0.5,0.5,0.5,0.4434711565216691,0.19643,0.0511,0.20124,0.19752,0.05124,0.1989,0.05167,0.0519
0.0,0.0,0.2666666667,0.5,0.5,0.5,0.4299009360418161,0.21972,0.21805,0.21758,0.03158,0.21654,0.03227,0.03237,0.03189
0.0,0.2666666667,0.0,0.5,0.5,0.5,0.4299009360418161,0.21858,0.21887,0.03113,0.21771,0.03181,0.03225,0.21736,0.03229
0.2666666667,0.0,0.0,0.5,0.5,0.5,0.4299009360418161,0.21863,0.03224,0.21726,0.21747,0.03183,0.21809,0.03181,0.03267
0.0,0.0,0.3333333333,0.5,0.5,0.5,0.4194352464083457,0.23244,0.23468,0.23233,0.01648,0.23338,0.01692,0.01691,0.01686
0.0,0.3333333333,0.0,0.5,0.5,0.5,0.4194352464083457,0.2319,0.23217,0.01712,0.23309,0.01651,0.01743,0.23475,0.01703
0.3333333333,0.0,0.0,0.5,0.5,0.5,0.4194352464083457,0.23234,0.01747,0.23174,0.23347,0.01668,0.23566,0.01679,0.01585
0.0,0.0,0.4,0.5,0.5,0.5,0.41231056256176607,0.24486,0.24329,0.24139,0.00617,0.24639,0.00597,0.00609,0.00584
0.0,0.4,0.0,0.5,0.5,0.5,0.41231056256176607,0.24437,0.24192,0.00608,0.2436,0.00623,0.00634,0.24499,0.00647
0.4,0.0,0.0,0.5,0.5,0.5,0.41231056256176607,0.24416,0.00611,0.24383,0.24101,0.00607,0.24643,0.00616,0.00623
0.0,0.0,0.4666666667,0.5,0.5,0.5,0.40870164794908315,0.24925,0.25018,0.24778,0.00073,0.25001,0.0006,0.00072,0.00073
