x1,x2,x3,target_1,target_2,target_3,dist,0-th amplification,1-th amplification,2-th amplification,3-th amplification
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.2,0,0,0,0.11547005383792516,0.03666666666666667,0.023333333333333334,0.026666666666666665,0.019999999999999997
0.0,0.2,0.0,0,0,0,0.11547005383792516,0.03666666666666667,0.04333333333333333,0.03,0.039999999999999994
0.2,0.0,0.0,0,0,0,0.11547005383792516,0.04,0.03,0.013333333333333332,0.013333333333333332
0.0,0.0,0.4,0,0,0,0.23094010767585033,0.09,0.11666666666666664,0.13333333333333333,0.11
0.0,0.4,0.0,0,0,0,0.23094010767585033,0.14666666666666664,0.11999999999999998,0.08333333333333331,0.13333333333333333
0.4,0.0,0.0,0,0,0,0.23094010767585033,0.11333333333333333,0.11,0.12333333333333332,0.12999999999999998
0.0,0.0,0.6,0,0,0,0.34641016151377546,0.21666666666666665,0.22333333333333327,0.19999999999999993,0.22999999999999995
0.0,0.6,0.0,0,0,0,0.34641016151377546,0.23999999999999996,0.24999999999999997,0.21333333333333332,0.18999999999999992
0.6,0.0,0.0,0,0,0,0.34641016151377546,0.2266666666666666,0.2133333333333333,0.22666666666666666,0.23333333333333328
0.0,0.0,0.8,0,0,0,0.46188021535170065,0.3066666666666666,0.2833333333333333,0.30999999999999994,0.30999999999999994
0.0,0.8,0.0,0,0,0,0.46188021535170065,0.30666666666666664,0.3133333333333333,0.30666666666666664,0.29666666666666663
0.8,0.0,0.0,0,0,0,0.46188021535170065,0.29666666666666663,0.29,0.30666666666666664,0.3133333333333333
0.0,0.0,1.0,0,0,0,0.5773502691896258,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334
0.0,1.0,0.0,0,0,0,0.5773502691896258,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334
1.0,0.0,0.0,0,0,0,0.5773502691896258,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334
0.0,0.2,0.2,0,0,0,0.16329931618554525,0.08666666666666666,0.07,0.04333333333333333,0.059999999999999984
0.2,0.0,0.2,0,0,0,0.16329931618554525,0.06666666666666667,0.06999999999999999,0.06333333333333332,0.07
0.2,0.2,0.0,0,0,0,0.16329931618554525,0.08666666666666666,0.06999999999999999,0.04333333333333333,0.056666666666666664
0.0,0.2,0.4,0,0,0,0.25819888974716115,0.16666666666666669,0.18666666666666665,0.13666666666666666,0.12666666666666668
0.0,0.4,0.2,0,0,0,0.25819888974716115,0.13333333333333333,0.15,0.14,0.15333333333333332
0.2,0.0,0.4,0,0,0,0.25819888974716115,0.15,0.16,0.1433333333333333,0.14
0.2,0.4,0.0,0,0,0,0.25819888974716115,0.12333333333333334,0.14666666666666664,0.16,0.12
0.4,0.0,0.2,0,0,0,0.25819888974716115,0.16,0.1433333333333333,0.1433333333333333,0.1433333333333333
0.4,0.2,0.0,0,0,0,0.25819888974716115,0.12333333333333332,0.12333333333333334,0.13,0.11666666666666668
0.0,0.2,0.6,0,0,0,0.36514837167011077,0.24,0.2633333333333333,0.2866666666666667,0.27333333333333326
