x1,x2,x3,target_1,target_2,target_3,dist,000,001,010,100,011,110,101,111
0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.2,0,0,0,0.11547005383792516,0.80046,0.0,0.0,0.19954,0.0,0.0,0.0,0.0
0.0,0.2,0.0,0,0,0,0.11547005383792516,0.79984,0.0,0.20016,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0,0,0,0.11547005383792516,0.80063,0.19937,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.4,0,0,0,0.23094010767585033,0.59928,0.0,0.0,0.40072,0.0,0.0,0.0,0.0
0.0,0.4,0.0,0,0,0,0.23094010767585033,0.60058,0.0,0.39942,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0,0,0,0.23094010767585033,0.60062,0.39938,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.6,0,0,0,0.34641016151377546,0.39993,0.0,0.0,0.60007,0.0,0.0,0.0,0.0
0.0,0.6,0.0,0,0,0,0.34641016151377546,0.40075,0.0,0.59925,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0,0,0,0.34641016151377546,0.40089,0.59911,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.8,0,0,0,0.46188021535170065,0.19848,0.0,0.0,0.80152,0.0,0.0,0.0,0.0
0.0,0.8,0.0,0,0,0,0.46188021535170065,0.19907,0.0,0.80093,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0,0,0,0.46188021535170065,0.20163,0.79837,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0,0,0,0.5773502691896258,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0,0,0,0.5773502691896258,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0,0,0,0.5773502691896258,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.2,0,0,0,0.16329931618554525,0.63817,0.0,0.1612,0.15981,0.0,0.04082,0.0,0.0
0.2,0.0,0.2,0,0,0,0.16329931618554525,0.64108,0.15907,0.0,0.16075,0.0,0.0,0.0391,0.0
0.2,0.2,0.0,0,0,0,0.16329931618554525,0.63862,0.1619,0.15973,0.0,0.03975,0.0,0.0,0.0
0.0,0.2,0.4,0,0,0,0.25819888974716115,0.48033,0.0,0.11953,0.32133,0.0,0.07881,0.0,0.0
0.0,0.4,0.2,0,0,0,0.25819888974716115,0.47831,0.0,0.321,0.1204,0.0,0.08029,0.0,0.0
0.2,0.0,0.4,0,0,0,0.25819888974716115,0.48014,0.12139,0.0,0.31774,0.0,0.0,0.08073,0.0
0.2,0.4,0.0,0,0,0,0.25819888974716115,0.4821,0.11944,0.31937,0.0,0.07909,0.0,0.0,0.0
0.4,0.0,0.2,0,0,0,0.25819888974716115,0.47992,0.31912,0.0,0.12074,0.0,0.0,0.08022,0.0
0.4,0.2,0.0,0,0,0,0.25819888974716115,0.4786,0.32062,0.12025,0.0,0.08053,0.0,0.0,0.0
0.0,0.2,0.6,0,0,0,0.36514837167011077,0.31906,0.0,0.08077,0.48037,0.0,0.1198,0.0,0.0
0.0,0.6,0.2,0,0,0,0.36514837167011077,0.32156,0.0,0.48058,0.07921,0.0,0.11865,0.0,0.0
0.2,0.0,0.6,0,0,0,0.36514837167011077,0.3185,0.08066,0.0,0.4822,0.0,0.0,0.11864,0.0
0.2,0.6,0.0,0,0,0,0.36514837167011077,0.32016,0.07847,0.48057,0.0,0.1208,0.0,0.0,0.0
0.6,0.0,0.2,0,0,0,0.36514837167011077,0.3197,0.47926,0.0,0.08096,0.0,0.0,0.12008,0.0
0.6,0.2,0.0,0,0,0,0.36514837167011077,0.31994,0.48075,0.07995,0.0,0.11936,0.0,0.0,0.0
0.0,0.2,0.8,0,0,0,0.47609522856952347,0.1588,0.0,0.04072,0.64181,0.0,0.15867,0.0,0.0
0.0,0.8,0.2,0,0,0,0.47609522856952347,0.16151,0.0,0.6409,0.04027,0.0,0.15732,0.0,0.0
0.2,0.0,0.8,0,0,0,0.47609522856952347,0.16019,0.04041,0.0,0.63951,0.0,0.0,0.15989,0.0
0.2,0.8,0.0,0,0,0,0.47609522856952347,0.16129,0.04009,0.63841,0.0,0.16021,0.0,0.0,0.0
0.8,0.0,0.2,0,0,0,0.47609522856952347,0.15947,0.63923,0.0,0.04074,0.0,0.0,0.16056,0.0
0.8,0.2,0.0,0,0,0,0.47609522856952347,0.16026,0.63982,0.03895,0.0,0.16097,0.0,0.0,0.0
0.0,0.2,1.0,0,0,0,0.5887840577551898,0.0,0.0,0.0,0.80261,0.0,0.19739,0.0,0.0
0.0,1.0,0.2,0,0,0,0.5887840577551898,0.0,0.0,0.80106,0.0,0.0,0.19894,0.0,0.0
0.2,0.0,1.0,0,0,0,0.5887840577551898,0.0,0.0,0.0,0.80075,0.0,0.0,0.19925,0.0
0.2,1.0,0.0,0,0,0,0.5887840577551898,0.0,0.0,0.80209,0.0,0.19791,0.0,0.0,0.0
1.0,0.0,0.2,0,0,0,0.5887840577551898,0.0,0.80026,0.0,0.0,0.0,0.0,0.19974,0.0
1.0,0.2,0.0,0,0,0,0.5887840577551898,0.0,0.80014,0.0,0.0,0.19986,0.0,0.0,0.0
0.0,0.4,0.4,0,0,0,0.3265986323710905,0.36125,0.0,0.23908,0.24035,0.0,0.15932,0.0,0.0
0.4,0.0,0.4,0,0,0,0.3265986323710905,0.35857,0.24192,0.0,0.23953,0.0,0.0,0.15998,0.0
0.4,0.4,0.0,0,0,0,0.3265986323710905,0.36156,0.24044,0.23714,0.0,0.16086,0.0,0.0,0.0
0.0,0.4,0.6,0,0,0,0.4163331998932266,0.24175,0.0,0.15939,0.36044,0.0,0.23842,0.0,0.0
