x1,x2,x3,target_1,target_2,target_3,dist,000,001,010,100,011,110,101,111
0.0,0.4,0.4,0.5,0.5,0.5,0.30000000000000004,0.47655,0.47575,0.01195,0.01168,0.01211,0.00029,0.01144,0.00023
0.4,0.0,0.4,0.5,0.5,0.5,0.30000000000000004,0.47678,0.01185,0.47449,0.01219,0.01202,0.01192,0.00037,0.00038
0.4,0.4,0.0,0.5,0.5,0.5,0.30000000000000004,0.47531,0.01136,0.01156,0.47681,0.00035,0.01219,0.01206,0.00036
0.0,0.4,0.6,0.5,0.5,0.5,0.30000000000000004,0.47499,0.47601,0.01165,0.01234,0.01209,0.00037,0.01226,0.00029
0.0,0.6,0.4,0.5,0.5,0.5,0.30000000000000004,0.4716,0.47934,0.01159,0.01222,0.01211,0.00043,0.01245,0.00026
0.4,0.0,0.6,0.5,0.5,0.5,0.30000000000000004,0.47442,0.01224,0.47672,0.01145,0.01202,0.0123,0.00044,0.00041
0.4,0.6,0.0,0.5,0.5,0.5,0.30000000000000004,0.47588,0.01205,0.01177,0.47537,0.0003,0.01218,0.01221,0.00024
0.6,0.0,0.4,0.5,0.5,0.5,0.30000000000000004,0.4756,0.01165,0.47605,0.01202,0.01177,0.0124,0.00029,0.00022
0.6,0.4,0.0,0.5,0.5,0.5,0.30000000000000004,0.4775,0.01233,0.01229,0.47395,0.00044,0.01138,0.01175,0.00036
0.0,0.4,0.8,0.5,0.5,0.5,0.34156502553198664,0.38644,0.38504,0.00987,0.10198,0.01001,0.00257,0.10148,0.00261
0.0,0.8,0.4,0.5,0.5,0.5,0.34156502553198664,0.38797,0.3861,0.10106,0.00924,0.10067,0.00267,0.00969,0.0026
0.4,0.0,0.8,0.5,0.5,0.5,0.34156502553198664,0.38625,0.00987,0.38634,0.10163,0.00929,0.10165,0.00253,0.00244
0.4,0.8,0.0,0.5,0.5,0.5,0.34156502553198664,0.38736,0.00924,0.10159,0.38769,0.00242,0.09989,0.00921,0.0026
0.8,0.0,0.4,0.5,0.5,0.5,0.34156502553198664,0.38618,0.10085,0.38551,0.01008,0.10253,0.00923,0.00277,0.00285
0.8,0.4,0.0,0.5,0.5,0.5,0.34156502553198664,0.39012,0.10068,0.00969,0.3837,0.00275,0.00936,0.10097,0.00273
0.0,0.4,1.0,0.5,0.5,0.5,0.41231056256176607,0.2437,0.24344,0.00624,0.24593,0.00609,0.00611,0.2416,0.00689
0.0,1.0,0.4,0.5,0.5,0.5,0.41231056256176607,0.24196,0.24284,0.24354,0.00614,0.2464,0.00661,0.00634,0.00617
0.4,0.0,1.0,0.5,0.5,0.5,0.41231056256176607,0.24242,0.00599,0.24332,0.24554,0.00625,0.24439,0.00583,0.00626
0.4,1.0,0.0,0.5,0.5,0.5,0.41231056256176607,0.2424,0.00614,0.24344,0.24183,0.00621,0.24776,0.00601,0.00621
1.0,0.0,0.4,0.5,0.5,0.5,0.41231056256176607,0.24252,0.24454,0.24514,0.00606,0.24363,0.00618,0.00594,0.00599
1.0,0.4,0.0,0.5,0.5,0.5,0.41231056256176607,0.24296,0.24612,0.00612,0.2435,0.00591,0.00649,0.24301,0.00589
0.0,0.6,0.6,0.5,0.5,0.5,0.30000000000000004,0.47703,0.47463,0.01168,0.01152,0.01293,0.00033,0.01157,0.00031
0.6,0.0,0.6,0.5,0.5,0.5,0.30000000000000004,0.47688,0.01144,0.47542,0.01222,0.01194,0.01148,0.00036,0.00026
0.6,0.6,0.0,0.5,0.5,0.5,0.30000000000000004,0.47189,0.0122,0.01161,0.47925,0.00036,0.01233,0.01203,0.00033
0.0,0.6,0.8,0.5,0.5,0.5,0.34156502553198664,0.38591,0.38791,0.01006,0.09882,0.00998,0.00239,0.10247,0.00246
0.0,0.8,0.6,0.5,0.5,0.5,0.34156502553198664,0.38807,0.385,0.10011,0.01041,0.10123,0.00294,0.00962,0.00262
0.6,0.0,0.8,0.5,0.5,0.5,0.34156502553198664,0.38691,0.00953,0.38728,0.10115,0.00925,0.10072,0.00257,0.00259
0.6,0.8,0.0,0.5,0.5,0.5,0.34156502553198664,0.3867,0.00989,0.10109,0.38847,0.00251,0.09958,0.00938,0.00238
0.8,0.0,0.6,0.5,0.5,0.5,0.34156502553198664,0.38655,0.10145,0.38847,0.00967,0.09923,0.00967,0.00256,0.0024
0.8,0.6,0.0,0.5,0.5,0.5,0.34156502553198664,0.38697,0.10194,0.0102,0.38728,0.00234,0.00978,0.0989,0.00259
0.0,0.6,1.0,0.5,0.5,0.5,0.41231056256176607,0.24181,0.24629,0.00601,0.24374,0.00618,0.00637,0.24358,0.00602
0.0,1.0,0.6,0.5,0.5,0.5,0.41231056256176607,0.24593,0.24217,0.24247,0.00614,0.24483,0.00623,0.00615,0.00608
0.6,0.0,1.0,0.5,0.5,0.5,0.41231056256176607,0.24224,0.00612,0.24313,0.24335,0.00618,0.2466,0.00605,0.00633
0.6,1.0,0.0,0.5,0.5,0.5,0.41231056256176607,0.24318,0.00569,0.2432,0.24295,0.00654,0.24614,0.00605,0.00625
1.0,0.0,0.6,0.5,0.5,0.5,0.41231056256176607,0.24451,0.24629,0.24162,0.00625,0.24266,0.00616,0.00638,0.00613
1.0,0.6,0.0,0.5,0.5,0.5,0.41231056256176607,0.244,0.2424,0.00629,0.24522,0.00595,0.00622,0.24378,0.00614
0.0,0.8,0.8,0.5,0.5,0.5,0.3785938897200183,0.31397,0.31663,0.08192,0.08066,0.08306,0.02128,0.08135,0.02113
0.8,0.0,0.8,0.5,0.5,0.5,0.3785938897200183,0.31745,0.08178,0.31251,0.08091,0.08133,0.08159,0.02229,0.02214
0.8,0.8,0.0,0.5,0.5,0.5,0.3785938897200183,0.31355,0.08033,0.08156,0.31859,0.02113,0.08125,0.08207,0.02152
0.0,0.8,1.0,0.5,0.5,0.5,0.4434711565216691,0.19826,0.19895,0.05177,0.19897,0.05307,0.05006,0.19762,0.0513
0.0,1.0,0.8,0.5,0.5,0.5,0.4434711565216691,0.1967,0.20241,0.19815,0.05169,0.19651,0.0508,0.05248,0.05126
0.8,0.0,1.0,0.5,0.5,0.5,0.4434711565216691,0.19892,0.05232,0.19658,0.198,0.05141,0.19884,0.05141,0.05252
0.8,1.0,0.0,0.5,0.5,0.5,0.4434711565216691,0.20143,0.05089,0.19776,0.20031,0.05058,0.19706,0.05129,0.05068
1.0,0.0,0.8,0.5,0.5,0.5,0.4434711565216691,0.19874,0.19801,0.19846,0.05087,0.19731,0.05241,0.05168,0.05252
1.0,0.8,0.0,0.5,0.5,0.5,0.4434711565216691,0.19745,0.19952,0.05152,0.19856,0.05109,0.05289,0.19735,0.05162
0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.12367,0.12566,0.12515,0.12478,0.12624,0.1241,0.12499,0.12541
1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.12486,0.12511,0.1269,0.12427,0.12488,0.12349,0.12592,0.12457
1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.12553,0.12431,0.12594,0.12389,0.1238,0.12584,0.12576,0.12493
0.2,0.2,0.2,0.5,0.5,0.5,0.30000000000000004,0.50096,0.12752,0.13102,0.12975,0.03353,0.03455,0.03406,0.00861
0.2,0.2,0.4,0.5,0.5,0.5,0.2516611478423583,0.61381,0.16036,0.15922,0.01556,0.04189,0.00396,0.00401,0.00119
0.2,0.4,0.2,0.5,0.5,0.5,0.2516611478423583,0.61323,0.15892,0.01508,0.1623,0.00418,0.00425,0.04102,0.00102
0.4,0.2,0.2,0.5,0.5,0.5,0.2516611478423583,0.61489,0.01496,0.15954,0.16009,0.00381,0.04177,0.00397,0.00097
0.2,0.2,0.6,0.5,0.5,0.5,0.2516611478423583,0.61639,0.15764,0.16016,0.01502,0.04146,0.00413,0.00409,0.00111
0.2,0.6,0.2,0.5,0.5,0.5,0.2516611478423583,0.61373,0.16085,0.01582,0.15874,0.00392,0.00392,0.04192,0.0011
0.6,0.2,0.2,0.5,0.5,0.5,0.2516611478423583,0.61427,0.01493,0.16121,0.15896,0.00387,0.0413,0.00422,0.00124
0.2,0.2,0.8,0.5,0.5,0.5,0.30000000000000004,0.50044,0.12952,0.13019,0.12951,0.03381,0.03399,0.03363,0.00891
0.2,0.8,0.2,0.5,0.5,0.5,0.30000000000000004,0.49971,0.1283,0.13158,0.13042,0.03408,0.03295,0.03433,0.00863
0.8,0.2,0.2,0.5,0.5,0.5,0.30000000000000004,0.50186,0.13019,0.12872,0.12923,0.03382,0.03447,0.03257,0.00914
0.2,0.2,1.0,0.5,0.5,0.5,0.3785938897200183,0.31388,0.08182,0.08257,0.31593,0.02119,0.08071,0.08224,0.02166
0.2,1.0,0.2,0.5,0.5,0.5,0.3785938897200183,0.31485,0.0807,0.31511,0.08318,0.08217,0.08128,0.02076,0.02195
1.0,0.2,0.2,0.5,0.5,0.5,0.3785938897200183,0.31283,0.31822,0.08092,0.08246,0.08184,0.02121,0.08173,0.02079
0.2,0.4,0.4,0.5,0.5,0.5,0.19148542155126763,0.75651,0.19548,0.01865,0.01897,0.00486,0.00042,0.00499,0.00012
0.4,0.2,0.4,0.5,0.5,0.5,0.19148542155126763,0.75665,0.01984,0.19489,0.01816,0.00527,0.00472,0.00037,0.0001
0.4,0.4,0.2,0.5,0.5,0.5,0.19148542155126763,0.75287,0.01941,0.01905,0.1983,0.00051,0.00496,0.00475,0.00015
0.2,0.4,0.6,0.5,0.5,0.5,0.19148542155126763,0.75561,0.1962,0.01878,0.01919,0.00469,0.00039,0.00501,0.00013
0.2,0.6,0.4,0.5,0.5,0.5,0.19148542155126763,0.75681,0.19558,0.0196,0.0181,0.00473,0.0004,0.00466,0.00012
0.4,0.2,0.6,0.5,0.5,0.5,0.19148542155126763,0.7538,0.01943,0.19727,0.019,0.0047,0.00518,0.00046,0.00016
